Season,Game Type,Team,#,Name,Position,G,PA,AB,BA,OBP,SLG,OPS,R,RBI,H,1B,2B,3B,HR,TB,SB,CS,BB,IBB,K,DP,DB,SH,SF,PlayerID
2002,Regular Season,Nippon-Ham Fighters,61,"Nonaka, Shingo",SS,5,6,5,0.200,0.200,0.400,0.600,0,0,1,0,1,0,0,2,0,0,0,0,3,0,0,1,0,11215115
2002,Regular Season,Orix Bluewave,28,"Kase, Toshihiro",P,33,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11313880
2002,Regular Season,Yakult Swallows,28,"Iriki, Satoshi",P,6,8,8,0.125,0.125,0.125,0.250,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,11313881
2002,Regular Season,Yakult Swallows,1,"Iwamura, Akinori",3B,140,577,510,0.320,0.390,0.531,0.921,67,71,163,103,35,2,23,271,5,4,58,6,114,10,3,2,4,11313884
2002,Regular Season,Orix Bluewave,27,"Ogura, Hisashi",P,17,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11313887
2002,Japan Series,Yomiuri Giants,19,"Uehara, Koji",P,1,,3,0.333,,0.333,,,0,1,1,0,0,0,1,0,,0,,1,,,,,11313888
2002,Regular Season,Yomiuri Giants,19,"Uehara, Koji",P,26,80,69,0.188,0.197,0.275,0.472,2,8,13,7,6,0,0,19,0,0,1,0,19,2,0,9,1,11313888
2002,Regular Season,Osaka Kintetsu Buffaloes,7,"Omura, Naoyuki",CF,135,575,531,0.271,0.307,0.407,0.714,65,47,144,98,31,4,11,216,1,0,21,3,61,7,7,14,2,11313889
2002,Regular Season,Yakult Swallows,19,"Ishikawa, Masanori",P,30,62,55,0.164,0.164,0.164,0.328,2,2,9,9,0,0,0,9,0,0,0,0,17,0,0,7,0,11315115
2002,Regular Season,Chunichi Dragons,59,"Yamakita, Shigetoshi",P,57,2,2,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11415111
2002,Regular Season,Yomiuri Giants,39,"Miura, Taka",P,3,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11415113
2002,Japan Series,Yomiuri Giants,18,"Kuwata, Masumi",P,1,,3,0.333,,0.333,,,0,1,1,0,0,0,1,0,,0,,0,,,,,11513862
2002,Regular Season,Yomiuri Giants,18,"Kuwata, Masumi",P,24,61,51,0.294,0.308,0.490,0.798,4,9,15,8,5,1,1,25,0,0,1,0,18,1,0,9,0,11513862
2002,Regular Season,Hiroshima Toyo Carp,12,"Kawano, Masato",P,22,1,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11513884
2002,Regular Season,Fukuoka Daiei Hawks,32,"Kimura, Shigeru",P,7,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11513886
2002,Regular Season,Orix Bluewave,37,"Kubo, Mitsuhiro",C,1,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11513887
2002,Regular Season,Orix Bluewave,20,"Kawagoe, Hidetaka",P,34,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11513888
2002,Regular Season,Orix Bluewave,54,"Kubota, Atsushi",P,7,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11515111
2002,Regular Season,Chunichi Dragons,12,"Okamoto, Shinya",P,7,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11515113
2002,Regular Season,Yakult Swallows,27,"Furuta, Atsuya",C,120,458,420,0.300,0.352,0.426,0.778,49,60,126,92,24,1,9,179,3,0,28,3,47,15,6,3,1,11613881
2002,Regular Season,Fukuoka Daiei Hawks,23,"Muramatsu, Arihito",RF,94,204,189,0.259,0.286,0.339,0.625,21,14,49,35,13,1,0,64,7,3,6,0,24,1,2,5,2,11613883
2002,Regular Season,Chunichi Dragons,4,"Gomez, Leo",1B,66,279,247,0.267,0.344,0.502,0.846,34,43,66,40,10,0,16,124,0,0,29,4,39,4,1,0,2,11613884
2002,Regular Season,Hiroshima Toyo Carp,11,"Yokomatsu, Toshikazu",P,1,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11615113
2002,Regular Season,Orix Bluewave,34,"Motoyanagi, Kazuya",P,4,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11615115
2002,Regular Season,Yakult Swallows,10,"Shiroishi, Noriyuki",2B,80,253,230,0.248,0.289,0.400,0.689,26,28,57,38,11,0,8,92,1,1,14,1,53,3,0,7,2,11713880
2002,Japan Series,Seibu Lions,10,"Takagi, Taisei",PH,1,,1,0.000,,0.000,,,0,0,0,0,0,0,0,0,,0,,0,,,,,11713882
2002,Regular Season,Seibu Lions,10,"Takagi, Taisei",PH,36,72,65,0.200,0.257,0.292,0.549,9,8,13,11,0,0,2,19,2,0,5,0,16,1,0,2,0,11713882
2002,Regular Season,Orix Bluewave,25,"Satake, Manabu",LF,83,165,137,0.277,0.373,0.358,0.731,11,9,38,29,7,2,0,49,0,5,17,0,30,7,4,7,0,11713884
2002,Regular Season,Chunichi Dragons,21,"Shotsu, Eiji",P,15,1,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11713886
2002,Regular Season,Hiroshima Toyo Carp,67,"Sakai, Daisuke",P,25,1,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11713888
2002,Regular Season,Hiroshima Toyo Carp,51,"Suenaga, Masafumi",PR,1,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11715111
2002,Japan Series,Seibu Lions,58,"Miyaji, Katsuhiko",CF,2,,6,0.333,,0.500,,,0,2,1,1,0,0,3,0,,0,,2,,,,,11813881
2002,Regular Season,Seibu Lions,58,"Miyaji, Katsuhiko",CF,100,285,247,0.267,0.311,0.348,0.659,27,29,66,54,7,2,3,86,8,4,16,0,38,1,1,18,3,11813881
2002,Regular Season,Orix Bluewave,15,"Ku, Deson",P,22,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11815113
2002,Regular Season,Yokohama BayStars,4,"Gulan, Mike",3B,67,263,248,0.226,0.262,0.411,0.673,20,34,56,30,16,0,10,102,1,2,10,0,83,4,3,0,2,11815115
2002,Regular Season,Nippon-Ham Fighters,7,"Nakamura, Yutaka",RF,81,133,116,0.190,0.240,0.293,0.533,7,5,22,12,9,0,1,34,1,0,7,0,24,2,1,8,1,11913882
2002,Regular Season,Orix Bluewave,1,"Ebisu, Nobuyuki",P,6,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11913883
2002,Regular Season,Yakult Swallows,23,"Ebisu, Nobuyuki",P,1,2,2,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11913883
2002,Regular Season,Orix Bluewave,1,"Soejima, Kota",LF,37,113,101,0.257,0.315,0.317,0.632,9,6,26,22,3,0,1,32,1,0,9,1,15,3,0,2,1,11913884
2002,Regular Season,Yakult Swallows,25,"Soejima, Kota",PH,31,42,38,0.132,0.214,0.158,0.372,1,4,5,4,1,0,0,6,0,0,4,0,11,0,0,0,0,11913884
2002,Regular Season,Hanshin Tigers,69,"Nishikawa, Shinichi",P,5,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11913889
2002,Regular Season,Nippon-Ham Fighters,3,"Tanaka, Kensuke",2B,60,177,158,0.253,0.298,0.348,0.646,18,10,40,29,7,4,0,55,3,2,9,0,36,2,1,9,0,11915111
2002,Regular Season,Yokohama BayStars,31,"Bowers, Shane",P,24,45,43,0.116,0.116,0.116,0.232,1,0,5,5,0,0,0,5,0,0,0,0,22,0,0,2,0,13115113
2002,Regular Season,Chunichi Dragons,49,"Bullett, Scott",LF,49,154,149,0.201,0.227,0.409,0.636,19,15,30,14,8,1,7,61,2,1,5,0,45,3,0,0,0,13115115
2002,Regular Season,Orix Bluewave,29,"Yarnall, Ed",P,25,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13315113
