Season,Game Type,Team,#,Name,Position,G,FPCT,PO,A,E,DP,PB,PlayerID
2025,Regular Season,Yomiuri Giants,61,"<a href=""https://proeyekyuu.com/player/?PlayerID=01605138"">Masuda, Riku</a>",1B,73,0.997,594,46,2,47,,01605138
2025,Regular Season,Yomiuri Giants,61,"<a href=""https://proeyekyuu.com/player/?PlayerID=01605138"">Masuda, Riku</a>",2B,2,1.000,2,3,0,1,,01605138
2025,Regular Season,Tohoku Rakuten Golden Eagles,64,"<a href=""https://proeyekyuu.com/player/?PlayerID=01605157"">Hayashi, Yuki</a>",P,1,0.000,0,0,0,0,,01605157
2025,Regular Season,Tohoku Rakuten Golden Eagles,54,"<a href=""https://proeyekyuu.com/player/?PlayerID=01605159"">Hinata, Naoki</a>",P,1,0.000,0,0,0,0,,01605159
2025,Climax Series - Final Stage,Fukuoka Softbank Hawks,24,"<a href=""https://proeyekyuu.com/player/?PlayerID=01705130"">Kurihara, Ryoya</a>",1B,1,1.000,11,0,0,0,,01705130
2025,Climax Series - Final Stage,Fukuoka Softbank Hawks,24,"<a href=""https://proeyekyuu.com/player/?PlayerID=01705130"">Kurihara, Ryoya</a>",3B,5,0.857,2,4,1,0,,01705130
2025,Japan Series,Fukuoka Softbank Hawks,24,"<a href=""https://proeyekyuu.com/player/?PlayerID=01705130"">Kurihara, Ryoya</a>",1B,4,1.000,13,4,0,0,,01705130
2025,Japan Series,Fukuoka Softbank Hawks,24,"<a href=""https://proeyekyuu.com/player/?PlayerID=01705130"">Kurihara, Ryoya</a>",3B,4,0.750,3,3,2,2,,01705130
2025,Regular Season,Fukuoka Softbank Hawks,24,"<a href=""https://proeyekyuu.com/player/?PlayerID=01705130"">Kurihara, Ryoya</a>",1B,9,1.000,25,3,0,3,,01705130
2025,Regular Season,Fukuoka Softbank Hawks,24,"<a href=""https://proeyekyuu.com/player/?PlayerID=01705130"">Kurihara, Ryoya</a>",3B,77,0.965,64,131,7,15,,01705130
2025,Regular Season,Tokyo Yakult Swallows,45,"<a href=""https://proeyekyuu.com/player/?PlayerID=01705132"">Kozawa, Reiji</a>",P,25,1.000,0,6,0,0,,01705132
2025,Regular Season,Tokyo Yakult Swallows,2,"<a href=""https://proeyekyuu.com/player/?PlayerID=01705134"">Koga, Yudai</a>",C,85,0.995,584,64,3,8,3,01705134
2025,Regular Season,Hiroshima Toyo Carp,5,"<a href=""https://proeyekyuu.com/player/?PlayerID=01705138"">Kozono, Kaito</a>",2B,26,0.981,41,61,2,10,,01705138
2025,Regular Season,Hiroshima Toyo Carp,5,"<a href=""https://proeyekyuu.com/player/?PlayerID=01705138"">Kozono, Kaito</a>",3B,70,0.986,51,87,2,8,,01705138
2025,Regular Season,Hiroshima Toyo Carp,5,"<a href=""https://proeyekyuu.com/player/?PlayerID=01705138"">Kozono, Kaito</a>",SS,57,0.976,67,94,4,21,,01705138
2025,Japan Series,Hanshin Tigers,47,"<a href=""https://proeyekyuu.com/player/?PlayerID=01705155"">Kirishiki, Takuma</a>",P,1,1.000,0,1,0,0,,01705155
