Season,Game Type,Team,#,Name,W,L,S,HLD,HP,G,IP,WPCT,ERA,WHIP,R/9,R/G,H/9,HR/9,K/9,BB/9,K/BB,BF,H,R,ER,HR,K,BB,IBB,DB,WP,BLK,CG,SHO,No BB,GS,GF,PlayerID
1962,Regular Season,Nishitetsu Lions,19,"Kondo, Mizuo",0,0,,,,16,23.2,0.000,3.750,1.394,4.563,0.750,9.127,1.141,8.746,3.423,2.556,101,24,12,10,3,23,9,,1,0,0,0,0,0,3,4,41543821
1962,Regular Season,Kintetsu Buffaloes,22,"Kuroda, Tsutomu",8,23,,,,57,199.1,0.258,3.560,1.420,4.515,1.754,9.482,0.632,5.418,3.296,1.644,856,210,100,79,14,120,73,,4,2,0,2,1,0,32,6,41743802
1962,Regular Season,Taiyo Whales,45,"Shinoda, Sohei",1,1,,,,26,42.1,0.500,3.770,1.205,4.252,0.769,8.717,1.276,4.252,2.126,2.000,175,41,20,18,6,20,10,,1,0,0,0,0,0,2,12,41743823
1962,Regular Season,Hanshin Tigers,26,"Watanabe, Shozo",10,5,,,,38,105.0,0.667,2.830,1.152,3.600,1.105,8.229,0.857,3.343,2.143,1.560,426,96,42,33,10,39,25,,0,1,0,0,0,0,5,16,41843807
1962,Regular Season,Nishitetsu Lions,15,"Tanaka, Kihachiro",6,11,,,,44,124.2,0.353,3.600,1.275,4.332,1.364,9.385,0.578,6.353,2.094,3.034,524,130,60,50,8,88,29,,5,3,0,2,2,2,18,9,41943808
1962,Regular Season,Yomiuri Giants,43,"Takahashi, Akira",0,2,,,,11,23.2,0.000,5.630,1.352,6.465,1.545,10.648,0.380,4.563,1.521,3.000,102,28,17,15,1,12,4,,1,1,0,0,0,0,1,5,41943823
1962,Regular Season,Kintetsu Buffaloes,16,"Takechi, Fumio",0,0,,,,6,8.1,0.000,3.000,1.680,5.400,0.833,14.040,1.080,4.320,1.080,4.000,36,13,5,3,1,4,1,,0,0,0,0,0,0,1,2,43143801
1962,Regular Season,Chunichi Dragons,21,"Yamanaka, Tatsumi",0,1,,,,14,22.2,0.000,4.300,1.191,5.162,0.929,9.132,1.191,5.162,1.588,3.250,96,23,13,11,3,13,4,,1,0,0,0,0,0,1,7,43143825
1962,Regular Season,Nishitetsu Lions,18,"Wako, Tadayasu",14,19,,,,56,286.0,0.424,2.420,1.014,2.832,1.607,6.671,0.441,6.514,2.455,2.654,1131,212,90,77,14,207,78,,17,6,0,12,2,1,33,13,43743800
1962,Regular Season,Hiroshima Carp,18,"Hasegawa, Ryohei",6,7,,,,32,106.1,0.462,3.450,1.288,3.893,1.438,8.718,0.931,4.571,2.878,1.588,445,103,46,41,11,54,34,,2,0,0,1,0,0,11,11,43743801
1962,Regular Season,Nankai Hawks,31,"Goto, Osamu",1,2,,,,7,8.2,0.333,7.000,1.846,7.269,1.000,12.462,0.000,4.154,4.154,1.000,43,12,7,7,0,4,4,,1,1,0,0,0,0,1,2,51053800
1962,Regular Season,Toei Flyers,23,"Hashizume, Fumio",1,1,,,,37,22.2,0.500,1.960,0.838,1.985,0.135,7.147,0.397,6.750,0.397,17.000,91,18,5,5,1,17,1,,0,0,0,0,0,0,0,8,51053821
1962,Regular Season,Yomiuri Giants,15,"Jonochi, Kunio",24,12,,,,56,280.2,0.667,2.210,0.958,2.501,1.393,6.638,0.353,5.548,1.988,2.790,1091,207,78,69,11,173,62,,8,3,0,14,5,2,31,13,51053825
1962,Regular Season,Hankyu Braves,14,"Ando, Haruhisa",7,11,,,,36,120.1,0.389,3.940,1.346,4.562,1.694,9.723,0.673,3.889,2.393,1.625,517,130,61,53,9,52,32,,4,1,0,4,2,0,19,11,51153808
1962,Regular Season,Kintetsu Buffaloes,54,"Abe, Yuko",0,0,,,,3,4.2,0.000,1.800,1.286,1.929,0.333,11.571,0.000,0.000,0.000,,20,6,1,1,0,0,0,,0,0,0,0,0,0,0,1,51153823
1962,Regular Season,Nishitetsu Lions,14,"Abe, Kazuharu",1,1,,,,9,25.0,0.500,2.520,0.840,2.520,0.778,6.840,0.720,1.440,0.720,2.000,94,19,7,7,2,4,2,,1,1,1,1,1,1,3,1,51153825
1962,Regular Season,Nankai Hawks,37,"Tomishima, Goro",1,5,,,,40,76.0,0.167,3.080,1.355,3.434,0.725,9.592,0.592,4.618,2.605,1.773,324,81,29,26,5,39,22,,3,2,0,0,0,0,7,8,51253802
